CBO_FAMIL;TIPO_DADO;620:M;620:F;631:M;631:F
1236;sum;14119591.78;1925808.44000005;1341897.35999993;400845.889999956
1236;freq;592;98;64;11
1236;mean;23850.6617905405;19651.1065306127;20967.1462499989;36440.5354545414
1425;sum;126749394.339999;34250385.3100001;12074624.7;2696317.74000009
1425;freq;11161;3439;965;276
1425;mean;11356.4550076157;9959.40253271303;12512.5644559586;9769.26717391336
2122;sum;38126913.2700005;4588985.31999998;7541340.30999964;953891.809999876
2122;freq;3577;515;424;53
2122;mean;10658.9078194019;8910.65110679607;17786.1799764143;17997.9586792429
2123;sum;48500293.0599998;8395918.66000002;6582728.32999997;630752.989999989
2123;freq;6106;1180;900;120
2123;mean;7943.05487389449;7115.18530508476;7314.14258888886;5256.27491666658
2124;sum;613732276.110001;146834836.98;66131278.4299999;15641804.8899999
2124;freq;101794;27661;9924;2742
2124;mean;6029.15963720849;5308.37052095007;6663.77251410721;5704.52402990513
3171;sum;150984907.25;22270888.89;9268820.17;1150304.96000003
3171;freq;33224;5060;2307;305
3171;mean;4544.45302341679;4401.36144071145;4017.6940485479;3771.49167213126
3172;sum;49179218.2999996;14888919.2;9696404.44000017;2810834.92000002
3172;freq;18735;6044;3263;1088
3172;mean;2624.99163597543;2463.42144275314;2971.62256818883;2583.4879779412
